Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Autrepart: revue de sciences sociales au Sud,1278-3986,,Institut de recherche pour le developpement,France,Selective Coverage - Actively Indexed
Azania: Archaeological research in Africa,0067-270X,1945-5534,British Institute in Eastern Africa,Kenya,Core Coverage - Actively Indexed
B.E. journal of economic analysis and policy,1935-1682,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
B.E. journal of macroeconomics,1935-1690,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
B.E. journal of theoretical economics,1935-1704,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Baessler-Archiv: Beitrage zur Volkerkunde,0005-3856,,Dietrich Reimer Verlag,Germany,Core Coverage - Actively Indexed
Balkanologie,1279-7952,,Association francaise d'etudes sur les Balkans,France,Core Coverage - Actively Indexed
Baltic journal of economics,1406-099X,,EuroFaculty,Latvia,Core Coverage - Actively Indexed
Baltic journal of law and politics,2029-0454,,Versita,Poland,Core Coverage - Actively Indexed
Baltic journal of management,1746-5265,,Emerald,United Kingdom,Core Coverage - Actively Indexed
Baltic yearbook of international law,1569-6456,,Martinus Nijhoff Publishers,Netherlands,Core Coverage - Actively Indexed
Banca impresa societa,1120-9453,,il mulino,Italy,Core Coverage - Actively Indexed
Bancaria,0005-4623,,Bancaria Editrice,Italy,Core Coverage - Actively Indexed
Bangladesh development studies,0304-095X,,Bangladesh Unnayan Gobeshona Protishthan = Bangladesh Institute of Development Studies,Bangladesh,Core Coverage - Actively Indexed
Bangladesh e-journal of sociology,1819-8465,,Bangladesh Sociological Society,Bangladesh,Core Coverage - Actively Indexed
Bank of England quarterly bulletin,0005-5166,,Bank of England,United Kingdom,Core Coverage - Actively Indexed
Banks and bank systems,1816-7403,1991-7074,Business Perspectives Publishing Company,Ukraine,Core Coverage - Actively Indexed
Banque et marches,1167-4946,,Banque et Marches,France,Core Coverage - Actively Indexed
BC studies,0005-2949,,University of British Columbia,Canada,Core Coverage - Actively Indexed
Before farming: the archaeology and anthropology of hunter-gatherers,1476-4261,,Western Academic & Specialist Press,United Kingdom,Core Coverage - Actively Indexed
Berkeley journal of sociology,0067-5830,,Berkeley Journal of Sociology,U.S.A.,Core Coverage - Actively Indexed
Berkeley technology law journal,0885-2715,,University of California Press Journals,U.S.A.,Core Coverage - Actively Indexed
Berliner Journal fur Soziologie,0863-1808,1862-2593,Springer Science + Business Media,Germany,Core Coverage - Actively Indexed
Betriebswirtschaft: DBW,0342-7064,,Poeschel,Germany,Selective Coverage - Actively Indexed
Betriebswirtschaftliche Forschung und Praxis: BFuP,0340-5370,,Jal-Verlag,Germany,Selective Coverage - Actively Indexed
"Bijdragen tot de taal-, land- en volkenkunde",0006-2294,2213-4379,Brill,Netherlands,Core Coverage - Actively Indexed
Bilig,1301-0549,,Foundation of Ahmet Yesevi University,Turkey,Core Coverage - Actively Indexed
Bioethics,0269-9702,1467-8519,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Biography,0162-4962,,University of Hawaii Press,U.S.A.,Core Coverage - Actively Indexed
Biometrie humaine et anthropologie,1279-7863,,Societe de biometrie humaine,France,Core Coverage - Actively Indexed
BioSocieties,1745-8552,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Biuletyn stowarzyszenia muzeow na wolnym powietrzu w polsce,1509-2453,,Stowarzyszenie Muzeow na Wolnym Powietrzu w Polsce,Poland,Selective Coverage - Actively Indexed
Body and society,1357-034X,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Bohemia: Zeitschrift fur Geschichte und Kultur der bohmischen Lander/Bohemia: A journal of history and civilisation in East Central Europe,0523-8587,,Oldenbourg Wissenschaftsverlag,Germany,Core Coverage - Actively Indexed
Boletim do Museu Paraense Emilio Goeldi Ciencias Humanas,1981-8122,,Museu Paraense Emilio Goeldi,Brazil,Core Coverage - Actively Indexed
Boletin de antropologia,0120-2510,,"Universidad de Antioquia, Dpto. de Antropologia",Colombia,Core Coverage - Actively Indexed
Boletin de antropologia americana,0252-841X,,Instituto Panamericano de Geografia e Historia,Mexico,Core Coverage - Actively Indexed
Boletin. Centro de estudios monetarios latinoamericanos,0186-7229,,Centro de Estudios Monetarios Latinoamericanos,Mexico,Core Coverage - Actively Indexed
Bolivian Studies Journal,2156-5163,,University of Pittsburgh,U.S.A.,Core Coverage - Actively Indexed
Borderlands E-journal: new spaces in the humanities,1447-0810,,Borderlands,Australia,Core Coverage - Actively Indexed
Bordon: Revista de pedagogia,0210-5934,,Sociedad Espanola de Pedagogia,Spain,Core Coverage - Actively Indexed
Borneo research bulletin,0006-7806,,Borneo Research Council,U.S.A.,Core Coverage - Actively Indexed
Borneo review,0128-7397,,Institute for Development Studies (Sabah),Malaysia,Core Coverage - Actively Indexed
Brazilian Political Science Review,,1981-3821,Brazilian Political Science Association,Brazil,Core Coverage - Actively Indexed
British accounting review,0890-8389,,Elsevier,United Kingdom,Core Coverage - Actively Indexed
British educational research journal,0141-1926,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
British journal for the history of science,0007-0874,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
British journal of Canadian studies,0269-9222,,British Association for Canadian Studies,United Kingdom,Core Coverage - Actively Indexed
British journal of clinical psychology,0144-6657,2044-8260,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of criminology,0007-0955,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
British journal of developmental psychology,0261-510X,,British Psychological Society,United Kingdom,Core Coverage - Actively Indexed
British journal of educational studies,0007-1005,1467-8527,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
British journal of industrial relations,0007-1080,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of management,1045-3172,1467-8551,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of Middle Eastern studies,1353-0194,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
British journal of political science,0007-1234,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
British journal of politics and international relations,1369-1481,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
British journal of psychology,0007-1269,2044-8295,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of social psychology,0144-6665,2044-8309,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of social work,0045-3102,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
British journal of sociology,1468-4446,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
British journal of sociology of education,0142-5692,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Bulgarska etnologiia,1310-5213,,"Etnografski Institut s Muzei, Bulgarska Akademiia na Naukite",Bulgaria,Core Coverage - Actively Indexed
Bulletin de l'Ecole francaise d'Extreme-Orient,0336-1519,,Ecole francaise d'Extreme-Orient,France,Core Coverage - Actively Indexed
Bulletin de l'Institut francais d'etudes andines,0303-7495,,Institut francais d'etudes andines (IFEA),Peru,Core Coverage - Actively Indexed
Bulletin de l'Institut Pierre Renouvin,1276-8944,,Institut Pierre Renouvin,France,Core Coverage - Actively Indexed
Bulletin d'etudes indiennes,0761-3156,,AFEI,France,Core Coverage - Actively Indexed
Bulletin of comparative labour relations,0770-3724,,Kluwer Law International,Netherlands,Core Coverage - Actively Indexed
Bulletin of economic research,0307-3378,1467-8586,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Bulletin of geography: socio-economic series,1732-4254,,Versita,Poland,Core Coverage - Actively Indexed
Bulletin of Indonesian economic studies,0007-4918,,"Routledge, Taylor and Francis: 4 Park Square, Milton Park, Abingdon, OX14 4RN, U.K.",United Kingdom,Core Coverage - Actively Indexed
Bulletin of Latin American research,0261-3050,,Wiley-Blackwell,Netherlands,Core Coverage - Actively Indexed
Bulletin of the International Committee on Urgent Anthropological and Ethnological Research,0538-5865,,International Committee on Urgent Anthropological and Ethnological Research,Austria,Core Coverage - Actively Indexed
Bulletin of the School of Oriental and African Studies,0041-977X,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Bulletin of the World Health Organization: the international journal of public health,0042-9686,,World Health Organization,Switzerland,Core Coverage - Actively Indexed
Business and politics,1369-5258,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Business economist,0306-5049,,Society of Business Economists,United Kingdom,Core Coverage - Actively Indexed
Business ethics quarterly,1052-150X,,Philosophy Documentation Center,U.S.A.,Core Coverage - Actively Indexed
Business ethics: a European review,0962-8770,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Business history,0007-6791,1743-7938,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Business history review,0007-6805,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Business law international,1467-632X,,International Bar Association,United Kingdom,Core Coverage - Actively Indexed
Business strategy and the environment,0964-4733,,John Wiley & Sons Ltd,United Kingdom,Core Coverage - Actively Indexed
Cadernos de estudos Africanos,,2182-7400,Cadernos de Estudos Africanos,Portugal,Core Coverage - Actively Indexed
Cadernos de estudos sociais e politicos,2238-3425,,Universidade do Estado do Rio de Janeiro,Brazil,Core Coverage - Actively Indexed
Cahiers africains d'administration publique/African administrative studies,0007-9588,,Centre Africain de Formation et de Recherche Administratives pour le Developpement,Morocco,Selective Coverage - Actively Indexed
Cahiers africains d'administration publique/African administrative studies,2028-6694,,Centre Africain de Formation et de Recherche Administratives pour le Developpement,Morocco,Selective Coverage - Actively Indexed
Cahiers africains/Afrika studies,1021-9994,,Institut africain-CEDAF,Belgium,Core Coverage - Actively Indexed
Cahiers de mediologie,1777-5604,,Mediologie,France,Core Coverage - Actively Indexed
Cahiers de sociologie economique et culturelle,0761-9871,,"CIRTAI, Universite du Havre",France,Core Coverage - Actively Indexed
Cahiers d'economie politique,0154-8344,,Presses universitaires de France,France,Core Coverage - Actively Indexed
Cahiers des Ameriques latines,1141-7161,,Institut des hautes etudes de l'Amerique latine,France,Core Coverage - Actively Indexed
Cahiers d'ethnomusicologie,1662-372X,,Ateliers d' ethnomusicologie,Switzerland,Core Coverage - Actively Indexed
Cahiers d'etudes africaines,0008-0055,,Editions de l'Ecole des hautes etudes en sciences sociales,France,Selective Coverage - Actively Indexed
Cahiers d'outre-mer,0373-5834,,Presses Universitaires de Bordeaux,France,Core Coverage - Actively Indexed
Cahiers du genre,1165-3558,,L'Harmattan,France,Core Coverage - Actively Indexed
Cahiers du monde russe,1252-6576,,Editions de l'Ecole des hautes etudes en sciences sociales,France,Core Coverage - Actively Indexed
Cahiers economiques de Bruxelles,0008-0195,,Editions du Dulbea asbl,Belgium,Core Coverage - Actively Indexed
Cahiers quebecois de demographie,0380-1721,,Association des demographes du Quebec,Canada,Core Coverage - Actively Indexed
Cahiers Russie,1955-4397,,CERI,France,Core Coverage - Actively Indexed
"Cahiers science, environnement, societe",,,Sciences Po,France,Core Coverage - Actively Indexed
Cakalele: Maluku research journal,1053-2285,,Center for Southeast Asian Studies,U.S.A.,Core Coverage - Actively Indexed
California management review,0008-1256,,University of California Press,U.S.A.,Core Coverage - Actively Indexed
Cambridge anthropology,0305-7674,2047-7716,Berghahn Books,United Kingdom,Core Coverage - Actively Indexed
Cambridge journal of economics,0309-166X,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Cambridge law journal,0008-1973,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Cambridge review of international affairs,0955-7571,,Taylor and Francis Ltd,United Kingdom,Core Coverage
Canadian ethnic studies/Etudes ethniques au Canada,0008-3496,,Canadian Ethnic Studies Journal,Canada,Core Coverage - Actively Indexed
Canadian geographer/Geographe canadien,0008-3658,,Wiley-Blackwell Publishing Inc.,Canada,Core Coverage - Actively Indexed
Canadian historical review,0008-3755,,University of Toronto Press,Canada,Core Coverage - Actively Indexed
Canadian journal of agricultural economics/Revue canadienne d'economie rurale,0008-3976,1744-7976,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Canadian journal of criminology and criminal justice/Revue canadienne de criminologie et de justice penale,0704-9722,,Canadian Criminology Association,Canada,Core Coverage - Actively Indexed
Canadian journal of economics/Revue canadienne d'economique,0008-4085,1540-5982,Wiley-Blackwell Publishing Inc.,Canada,Core Coverage - Actively Indexed
Canadian journal of human sexuality,1188-4517,,University of Toronto Press Inc,Canada,Core Coverage - Actively Indexed
Canadian journal of Latin American and Caribbean studies,0826-3663,,University of Western Ontario,Canada,Core Coverage - Actively Indexed
Canadian journal of law and society/Revue canadienne droit et societe,0829-3201,,University of Toronto Press,Canada,Core Coverage - Actively Indexed
Canadian journal of linguistics/Revue canadienne de linguistique,0008-4131,,University of Toronto Press,Canada,Core Coverage - Actively Indexed
Canadian journal of philosophy,0045-5091,1911-0820,Taylor and Francis Ltd.,Canada,Core Coverage - Actively Indexed
